gene_id	NCBI_ID	genename	genesynonym
YOR366W	NaN	NaN	NaN
YIR021W	854839	MRS1	PET157
YJL175W	NaN	NaN	NaN
YLL022C	850638	HIF1	NaN
YDR441C	852051	APT2	NaN
YPR002C-A	NaN	NaN	NaN
YOR299W	854475	BUD7	NaN
YLR047C	850736	FRE8	NaN
YMR082C	NaN	NaN	NaN
YEL023C	856690	NaN	NaN
YDR411C	852020	DFM1	NaN
YKL025C	853843	PAN3	ECM35
YLR225C	850922	NaN	NaN
YPR029C	856141	APL4	NaN
YDR088C	851661	SLU7	SLT17
YFL004W	850544	VTC2	PHM1
YDR369C	851975	XRS2	NaN
YGL090W	852790	LIF1	NaN
YLR297W	851004	NaN	NaN
YDR094W	NaN	NaN	NaN
YNL027W	855704	CRZ1	HAL8
YNL027W	855704	CRZ1	TCN1
YAL064C-A	851234	TDA8	YAL065C-A
YJL083W	853362	TAX4	NaN
YKL171W	853683	NNK1	NaN
YOR353C	854535	SOG2	NaN
YJR132W	853596	NMD5	KAP119
YLR255C	NaN	NaN	NaN
YMR013W-A	NaN	NaN	NaN
YNL144W-A	NaN	NaN	NaN
YPL060W	856045	MFM1	LPE10
YNL333W	855383	SNZ2	NaN
YCL038C	850319	ATG22	AUT4
YBL035C	852245	POL12	NaN
YJL092W	853353	SRS2	HPR5
YJL092W	853353	SRS2	RADH
YJL092W	853353	SRS2	RADH1
YGL010W	852874	MPO1	NaN
YML076C	854899	WAR1	NaN
YDR379W	851985	RGA2	NaN
YDL029W	851532	ARP2	ACT2
YDR205W	851786	MSC2	NaN
YJL031C	853421	BET4	NaN
YLR016C	850703	PML1	NaN
YOL116W	854033	MSN1	FUP1
YOL116W	854033	MSN1	HRB382
YOL116W	854033	MSN1	MSS10
YOL116W	854033	MSN1	PHD2
YGR019W	852902	UGA1	NaN
YKL096C-B	1500486	NaN	NaN
YMR137C	855168	PSO2	SNM1
YLR034C	850721	SMF3	NaN
YOL041C	854116	NOP12	NaN
YDL198C	851329	GGC1	YHM1
YPR076W	NaN	NaN	NaN
YHR118C	856518	ORC6	NaN
YJL097W	853348	PHS1	NaN
YDL120W	851437	YFH1	NaN
YLR292C	850999	SEC72	SEC67
YLR292C	850999	SEC72	SIM2
YPR170W-B	5848745	NaN	NaN
YKR091W	853966	SRL3	NaN
YPR016C	856126	TIF6	CDC95
YNL103W	NaN	MET4	NaN
YAL012W	851221	CYS3	CYI1
YAL012W	851221	CYS3	FUN35
YAL012W	851221	CYS3	STR1
YJL148W	853293	RPA34	A34.5
YER039C-A	856762	NaN	NaN
YKL162C-A	NaN	NaN	NaN
YDR421W	852031	ARO80	NaN
YGL051W	852830	MST27	NaN
YER058W	856786	PET117	NaN
YNL243W	855478	SLA2	END4
YNL243W	855478	SLA2	MOP2
YGL220W	852652	NaN	AIM15
YDL186W	851340	NaN	NaN
YER110C	856846	KAP123	YRB4
YLL027W	850632	ISA1	NaN
YER135C	NaN	NaN	NaN
YOL060C	854094	MAM3	NaN
YCL051W	850306	LRE1	NaN
YBL049W	852231	MOH1	NaN
YOL102C	854051	TPT1	tRNA 2'-phosphotransferase
YGR065C	852956	VHT1	NaN
YMR292W	855337	GOT1	NaN
YBL021C	852260	HAP3	NaN
YPR026W	856137	ATH1	NaN
YLR421C	851140	RPN13	NaN
YHR054W-A	NaN	NaN	NaN
YPR154W	856277	PIN3	LSB2
YAL058W	851241	CNE1	FUN48
YDR119W-A	3799970	COX26	NaN
YJR055W	853516	HIT1	NaN
YMR273C	855316	ZDS1	CES1
YMR273C	855316	ZDS1	CKM1
YMR273C	855316	ZDS1	NRC1
YMR273C	855316	ZDS1	OSS1
YHL008C	856381	NaN	NaN
YNL212W	855509	VID27	NaN
YDR429C	852039	TIF35	NaN
YCL027W	850330	FUS1	NaN
YCR030C	850396	SYP1	YCR029C-A
YGR048W	852939	UFD1	NaN
YPL249C	855827	GYP5	NaN
YLR165C	850862	PUS5	NaN
YDR220C	NaN	NaN	NaN
YDR263C	851856	DIN7	DIN3
YBR187W	852485	GDT1	NaN
YOR244W	854418	ESA1	TAS1
YOR244W	854418	ESA1	KAT5
YBR201C-A	3799967	NaN	NaN
YBR074W	852366	NaN	YBR075W
YDL195W	851332	SEC31	WEB1
YDR007W	851570	TRP1	NaN
YOL014W	854146	NaN	NaN
YLR059C	850748	REX2	YNT20
YML130C	854909	ERO1	NaN
YBR223C	852525	TDP1	NaN
YCR018C-A	NaN	NaN	NaN
YER019W	856739	ISC1	NaN
YIR016W	854833	NaN	NaN
YIL069C	856805	RPS24B	RPS24EA
YIL069C	856805	RPS24B	RPS24EB
YIL069C	856805	RPS24B	S24B
YIL069C	854741	RPS24B	RPS24EA
YIL069C	854741	RPS24B	RPS24EB
YIL069C	854741	RPS24B	S24B
YLR440C	851161	SEC39	DSL3
YIL102C	854704	NaN	NaN
YER042W	856765	MXR1	MSRA
YBL069W	852209	AST1	NaN
YML116W	854924	ATR1	SNQ1
YHR058C	856455	MED6	NaN
YMR265C	855307	NaN	NaN
YDL169C	851385	UGX2	NaN
YPL109C	855995	NaN	NaN
YPL204W	855897	HRR25	KTI14
YLR365W	NaN	NaN	NaN
YOR047C	854212	STD1	MSN3
YOR047C	854212	STD1	SFS3
YLR222C	850919	UTP13	NaN
YPR183W	856313	DPM1	SED3
YOR396C-A	NaN	NaN	NaN
YER077C	856810	MRX1	NaN
YDR348C	851949	PAL1	NaN
YKL030W	NaN	NaN	NaN
YGR295C	853212	COS6	NaN
YER039C	856761	HVG1	YEM9
YPL230W	855871	USV1	NSF1
YFL007W	850541	BLM10	YFL006W
YLR371W	851086	ROM2	NaN
YMR061W	855083	RNA14	NaN
YPL159C	855944	PET20	NaN
YMR288W	855332	HSH155	NaN
YMR166C	855202	MME1	NaN
YHR142W	856545	CHS7	NaN
YJR111C	853575	PXP2	NaN
YPL152W	855951	RRD2	YPA2
YJR113C	853578	RSM7	NaN
YDR230W	NaN	NaN	NaN
YDR131C	851709	NaN	NaN
YEL020W-A	856693	TIM9	NaN
YLR116W	850807	MSL5	BBP
YIR040C	NaN	NaN	NaN
YLR013W	850700	GAT3	NaN
YBR125C	852422	PTC4	GCT1
YPL216W	855885	NaN	NaN
YOR290C	854465	SNF2	GAM1
YOR290C	854465	SNF2	HAF1
YOR290C	854465	SNF2	SWI2
YOR290C	854465	SNF2	TYE3
YEL012W	856704	UBC8	GID3
YLR179C	850876	NaN	NaN
YDR297W	851891	SUR2	SYR2
YBR191W	852489	RPL21A	URP1
YBR191W	852489	RPL21A	L21A
YKL060C	853805	FBA1	LOT1
YDL215C	851311	GDH2	GDH-B
YDL215C	851311	GDH2	GDHB
YJL205C	853225	NCE101	NCE1
YJL205C	853225	NCE101	YJL205C-A
YJL205C	853225	NCE101	YJL206C-A
YGL133W	852744	ITC1	NaN
YOR355W	854537	GDS1	NaN
YIL061C	854749	SNP1	U1 70K
YIL061C	854749	SNP1	U1-70K
YGR078C	852969	PAC10	GIM2
YGR078C	852969	PAC10	PFD3
YGR078C	852969	PAC10	RKS2
YJR020W	NaN	NaN	NaN
YAR068W	851296	NaN	NaN
YLR417W	851135	VPS36	GRD12
YLR417W	851135	VPS36	VAC3
YLR417W	851135	VPS36	VPL11
YDL129W	851428	NaN	NaN
YPR064W	NaN	NaN	NaN
YPL082C	856023	MOT1	BUR3
YPL082C	856023	MOT1	LPF4
YPL082C	856023	MOT1	BTAF1
YMR101C	855127	SRT1	NaN
YBR299W	852602	MAL32	MAL3S
YBR299W	852602	MAL32	MALS
YDL088C	851470	ASM4	NUP59
YKR034W	853904	DAL80	UGA43
YOR199W	NaN	NaN	NaN
YOR005C	854166	DNL4	LIG4
YCR081W	850442	SRB8	GIG1
YCR081W	850442	SRB8	MED12
YCR081W	850442	SRB8	NUT6
YCR081W	850442	SRB8	SSN5
YCR081W	850442	SRB8	YCR080W
YHR143W-A	856547	RPC10	RPB12
YHR143W-A	856547	RPC10	ABC10-alpha
YMR296C	855342	LCB1	END8
YMR296C	855342	LCB1	TSC2
YMR212C	855252	EFR3	NaN
YDR039C	851609	ENA2	NaN
YFL027C	850517	GYP8	NaN
YJL075C	NaN	APQ13	NaN
YBR219C	852520	NaN	NaN
YBL032W	852248	HEK2	KHD1
YFR039C	850600	OSW7	NaN
YER184C	856933	TOG1	NaN
YBR114W	852411	RAD16	PSO5
YBR267W	852569	REI1	NaN
YIL009C-A	854806	EST3	NaN
YMR153C-A	NaN	NaN	NaN
YPL035C	NaN	NaN	NaN
YDR075W	851647	PPH3	NaN
YER060W-A	856789	FCY22	NaN
YNL135C	855587	FPR1	FKB1
YNL135C	855587	FPR1	RBP1
YPR107C	856222	YTH1	NaN
YOL001W	854161	PHO80	AGS3
YOL001W	854161	PHO80	TUP7
YOL001W	854161	PHO80	VAC5
YOL001W	854161	PHO80	phoR
YNL032W	855699	SIW14	OCA3
YHR060W	856457	VMA22	CEV1
YHR060W	856457	VMA22	VPH6
YOR187W	854359	TUF1	tufM
YMR127C	855157	SAS2	KAT8
YDL223C	851303	HBT1	NaN
YDR156W	851734	RPA14	A14
YDR167W	851745	TAF10	TAF23
YDR167W	851745	TAF10	TAF25
YDR167W	851745	TAF10	TafII25
YLL065W	NaN	NaN	GIN11
YGR281W	853198	YOR1	YRS1
YIL060W	854750	NaN	NaN
YJL015C	NaN	NaN	NaN
YPL146C	855957	NOP53	RRP16
YGL148W	852729	ARO2	NaN
YPR133W-A	856252	TOM5	MOM8A
YAL044C	851254	GCV3	NaN
YOR151C	854322	RPB2	RPB150
YOR151C	854322	RPB2	RPO22
YOR151C	854322	RPB2	SIT2
YOR151C	854322	RPB2	SOH2
YOR151C	854322	RPB2	B150
YNL046W	855681	NaN	NaN
YJL003W	853454	COX16	NaN
YEL058W	856652	PCM1	AGM1
YNL325C	855392	FIG4	NaN
YLR369W	851084	SSQ1	SSC2
YLR369W	851084	SSQ1	SSH1
YGL004C	852880	RPN14	NaN
YJL196C	853243	ELO1	NaN
YPR015C	856125	NaN	NaN
YMR013C	855026	SEC59	NaN
YHL013C	856373	OTU2	NaN
YER165W	856912	PAB1	NaN
YIL089W	854719	NaN	NaN
YNL062C	855663	GCD10	TRM6
YNL062C	855663	GCD10	1-methyladenosine tRNA methyltransferase subunit
YML059C	854943	NTE1	NaN
YML086C	854888	ALO1	NaN
YPL036W	856071	PMA2	NaN
YOR161C-C	1466484	NaN	NaN
YBL061C	852218	SKT5	CAL2
YBL061C	852218	SKT5	CHS4
YBL061C	852218	SKT5	CSD4
YIL166C	854640	NaN	NaN
YHR216W	856626	IMD2	PUR5
YER182W	856931	FMP10	NaN
YGR190C	NaN	NaN	NaN
YKR005C	853874	NaN	NaN
YJR162C	NaN	NaN	NaN
YMR186W	855224	HSC82	HSP90
YJL152W	NaN	NaN	NaN
YMR169C	855205	ALD3	NaN
YDR274C	NaN	NaN	NaN
YBL083C	NaN	NaN	NaN
YCL056C	850302	PEX34	NaN
YGL223C	852649	COG1	COD3
YGL223C	852649	COG1	LDB11
YGL223C	852649	COG1	SEC36
YJL098W	853347	SAP185	NaN
YOR396W	854577	YRF1-8	YRF1
YOR396W	852158	YRF1-8	YRF1
YOR396W	851189	YRF1-8	YRF1
YJL120W	NaN	NaN	NaN
YLR332W	851042	MID2	KAI1
YNL285W	NaN	NaN	NaN
YIL029W-A	NaN	NaN	NaN
YOL066C	854088	RIB2	PUS8
YNL247W	855474	NaN	NaN
YPR102C	856217	RPL11A	L11A
YPR102C	856217	RPL11A	L16B
YPR102C	856217	RPL11A	rp39A
YPR102C	856217	RPL11A	YL22
YBR287W	852590	NaN	ZSP1
YGL007C-A	1466455	NaN	NaN
YGL175C	852700	SAE2	COM1
YHR071W	856468	PCL5	NaN
YIL095W	854713	PRK1	PAK1
YHR107C	856507	CDC12	CLA10
YHR107C	856507	CDC12	PSL7
YOL166W-A	1466472	NaN	NaN
YLR050C	850739	NaN	NaN
YCR010C	850368	ADY2	ATO1
YNL161W	855561	CBK1	NaN
YOR055W	NaN	NaN	YOR29-06
YGL063C-A	NaN	NaN	NaN
YMR306W	855353	FKS3	NaN
YAR066W	856621	NaN	NaN
YAR066W	851295	NaN	NaN
YGL128C	852749	CWC23	NaN
YPR048W	856161	TAH18	NaN
YLR345W	851059	NaN	NaN
YPR140W	856262	TAZ1	NaN
YKL208W	853673	CBT1	SOC1
YKL058W	853807	TOA2	NaN
YGL030W	852853	RPL30	L30
YGL030W	852853	RPL30	L32
YGL030W	852853	RPL30	rp73
YGL030W	852853	RPL30	YL38
YHR209W	856616	CRG1	NaN
YJL082W	853363	IML2	NaN
YKR017C	853887	HEL1	NaN
YER126C	856863	NSA2	NaN
YDR110W	851688	FOB1	HRM1
YKR040C	NaN	NaN	NaN
YGL033W	852850	HOP2	NaN
YKL046C	853820	DCW1	NaN
YLR236C	NaN	NaN	NaN
YGR165W	853075	MRPS35	NaN
YML103C	854868	NUP188	NaN
YFL010W-A	850537	AUA1	YFL011W-A
YNL338W	NaN	NaN	NaN
YGR193C	853107	PDX1	NaN
YJL197C-A	NaN	NaN	NaN
YLR439W	851160	MRPL4	YmL4
YKL001C	853869	MET14	NaN
YKL078W	853784	DHR2	NaN
YJL062W	853384	LAS21	GPI7
YPL245W	855831	NaN	NaN
YBR058C-A	852350	TSC3	NaN
YNL106C	855618	INP52	SJL2
YNL204C	855517	SPS18	SPX18
YDR211W	851797	GCD6	NaN
YDL109C	851449	NaN	NaN
YIL111W	NaN	COX5B	NaN
YOR117W	854284	RPT5	YTA1
YOR074C	854241	CDC21	CRT9
YOR074C	854241	CDC21	TMP1
YOR074C	854241	CDC21	YOR29-25
YKL223W	NaN	NaN	NaN
YPL170W	855933	DAP1	NaN
YHR072W	856470	ERG7	NaN
