gene_id	type
YBR263W	non_essential
YBR264C	non_essential
YBR265W	essential
YBR266C	non_essential
YBR267W	non_essential
YBR268W	non_essential
YBR269C	non_essential
YBR270C	non_essential
YBR271W	non_essential
YBR272C	non_essential
YBR273C	non_essential
YBR274W	non_essential
YBR275C	non_essential
YBR276C	non_essential
YBR277C	non_essential
YBR278W	non_essential
YBR279W	non_essential
YBR280C	non_essential
YBR281C	non_essential
YBR282W	non_essential
YBR283C	non_essential
YBR284W	non_essential
YBR285W	non_essential
YBR286W	non_essential
YBR287W	non_essential
YBR288C	non_essential
YBR289W	non_essential
YBR290W	non_essential
YBR291C	non_essential
YBR292C	non_essential
YBR293W	non_essential
YBR294W	non_essential
YBR295W	non_essential
YBR296C	non_essential
YBR296C-A	non_essential
YBR297W	non_essential
YBR298C	non_essential
YBR298C-A	non_essential
YBR299W	non_essential
YBR300C	non_essential
YBR301W	non_essential
YBR302C	non_essential
YCL001W	non_essential
YCL001W-A	non_essential
YCL001W-B	non_essential
YCL002C	non_essential
YCL004W	essential
YCL005W	non_essential
YCL005W-A	non_essential
YCL007C	non_essential
YCL008C	non_essential
YCL009C	non_essential
YCL010C	non_essential
YCL011C	non_essential
YCL012C	non_essential
YCL014W	non_essential
YCL016C	non_essential
YCL017C	essential
YCL018W	non_essential
YCL021W-A	non_essential
YCL022C	non_essential
YCL023C	non_essential
YCL024W	non_essential
YCL025C	non_essential
YCL026C-A	non_essential
YCL026C-B	non_essential
YCL027W	non_essential
YCL028W	essential
YCL029C	non_essential
YCL030C	non_essential
YCL031C	essential
YCL032W	non_essential
YCL033C	non_essential
YCL034W	non_essential
YCL035C	non_essential
YCL036W	non_essential
YCL037C	non_essential
YCL038C	non_essential
YCL039W	non_essential
YCL040W	non_essential
YCL041C	essential
YCL042W	non_essential
YCL043C	essential
YCL044C	non_essential
YCL045C	non_essential
YCL046W	non_essential
YCL047C	non_essential
YCL048W	non_essential
YCL048W-A	non_essential
YCL049C	non_essential
YCL050C	non_essential
YCL051W	non_essential
YCL052C	essential
YCL054W	essential
YCL054W-A	non_essential
YCL055W	non_essential
YCL056C	non_essential
YCL057C-A	non_essential
YCL057W	non_essential
YCL058C	non_essential
YCL058W-A	non_essential
YCL059C	essential
YCL061C	non_essential
YCL063W	non_essential
YCL064C	non_essential
YCL065W	non_essential
YCL066W	non_essential
YCL067C	essential
YCL068C	non_essential
YCL069W	non_essential
YCL073C	non_essential
YCL076W	non_essential
YCR001W	non_essential
YCR002C	essential
YCR003W	non_essential
YCR004C	non_essential
YCR005C	non_essential
YCR006C	non_essential
YCR007C	non_essential
YCR008W	non_essential
YCR009C	non_essential
YCR010C	non_essential
YCR011C	non_essential
YCR012W	essential
YCR013C	essential
YCR014C	non_essential
YCR015C	non_essential
YCR016W	non_essential
YCR017C	non_essential
YCR018C	non_essential
YCR018C-A	non_essential
YCR019W	non_essential
YCR020C	non_essential
YCR020C-A	non_essential
YCR020W-B	non_essential
YCR021C	non_essential
YCR022C	non_essential
YCR023C	non_essential
YCR024C	non_essential
YCR024C-A	non_essential
YCR024C-B	non_essential
YCR025C	non_essential
YCR026C	non_essential
YCR027C	non_essential
YCR028C	non_essential
YCR028C-A	non_essential
YCR030C	non_essential
YCR031C	non_essential
YCR032W	non_essential
YCR033W	non_essential
YCR034W	non_essential
YCR035C	essential
YCR036W	non_essential
YCR037C	non_essential
YCR038C	non_essential
YCR038W-A	non_essential
YCR039C	essential
YCR040W	non_essential
YCR041W	non_essential
YCR042C	non_essential
YCR043C	non_essential
YCR044C	non_essential
YCR045C	non_essential
YCR045W-A	non_essential
YCR046C	non_essential
YCR047C	non_essential
YCR047W-A	non_essential
YCR048W	non_essential
YCR049C	non_essential
YCR050C	non_essential
YCR051W	non_essential
YCR052W	essential
YCR053W	non_essential
YCR054C	essential
YCR057C	essential
YCR059C	non_essential
YCR060W	non_essential
YCR061W	non_essential
YCR063W	non_essential
YCR064C	non_essential
YCR065W	non_essential
YCR066W	non_essential
YCR067C	non_essential
YCR068W	essential
YCR069W	non_essential
YCR071C	non_essential
YCR072C	essential
YCR073C	non_essential
YCR073W-A	non_essential
YCR075C	non_essential
YCR075W-A	non_essential
YCR076C	non_essential
YCR077C	non_essential
YCR079W	non_essential
YCR081C-A	non_essential
YCR081W	non_essential
YCR082W	non_essential
YCR083W	non_essential
YCR084C	non_essential
YCR085W	non_essential
YCR086W	non_essential
YCR087C-A	non_essential
YCR087W	non_essential
YCR088W	essential
YCR089W	non_essential
YCR090C	non_essential
YCR091W	non_essential
YCR092C	non_essential
YCR093W	essential
YCR094W	non_essential
YCR095C	non_essential
YCR095W-A	non_essential
YCR096C	essential
YCR097W	non_essential
YCR097W-A	non_essential
YCR098C	non_essential
YCR099C	non_essential
YCR100C	non_essential
YCR101C	non_essential
YCR102C	non_essential
YCR102W-A	non_essential
YCR104W	non_essential
YCR105W	non_essential
YCR106W	non_essential
YCR107W	non_essential
YCR108C	non_essential
YDL001W	non_essential
YDL002C	non_essential
YDL003W	essential
YDL004W	essential
YDL005C	non_essential
YDL006W	non_essential
YDL007C-A	non_essential
YDL007W	essential
YDL008W	essential
YDL009C	non_essential
YDL010W	non_essential
YDL011C	non_essential
YDL012C	non_essential
YDL013W	essential
YDL014W	essential
YDL015C	essential
YDL016C	essential
YDL017W	essential
YDL018C	non_essential
YDL019C	non_essential
YDL020C	non_essential
YDL021W	non_essential
YDL022C-A	non_essential
YDL022W	non_essential
YDL023C	non_essential
YDL024C	non_essential
YDL025C	non_essential
YDL025W-A	non_essential
YDL026W	non_essential
YDL027C	non_essential
YDL028C	essential
YDL029W	essential
YDL030W	essential
YDL031W	essential
YDL032W	non_essential
YDL033C	non_essential
YDL034W	non_essential
YDL035C	non_essential
YDL036C	non_essential
YDL037C	non_essential
YDL039C	non_essential
YDL040C	non_essential
YDL041W	non_essential
YDL042C	non_essential
YDL043C	essential
YDL044C	non_essential
YDL045C	essential
YDL045W-A	non_essential
YDL046W	non_essential
YDL047W	non_essential
YDL048C	non_essential
YDL049C	non_essential
YDL050C	non_essential
YDL051W	non_essential
YDL052C	non_essential
YDL053C	non_essential
YDL054C	non_essential
YDL055C	essential
YDL056W	non_essential
YDL057W	non_essential
YDL058W	essential
YDL059C	non_essential
YDL060W	essential
YDL061C	non_essential
YDL062W	non_essential
YDL063C	non_essential
YDL064W	essential
YDL065C	non_essential
YDL066W	non_essential
YDL067C	essential
YDL068W	non_essential
YDL069C	non_essential
YDL070W	non_essential
YDL071C	non_essential
YDL072C	non_essential
YDL073W	non_essential
YDL074C	non_essential
YDL075W	non_essential
YDL076C	non_essential
YDL077C	non_essential
YDL078C	non_essential
YDL079C	non_essential
YDL080C	non_essential
YDL081C	non_essential
YDL082W	non_essential
YDL083C	non_essential
YDL084W	essential
YDL085C-A	non_essential
YDL085W	non_essential
YDL086C-A	non_essential
YDL086W	non_essential
YDL087C	essential
YDL088C	non_essential
YDL089W	essential
YDL090C	non_essential
YDL091C	non_essential
YDL092W	essential
YDL093W	non_essential
YDL094C	non_essential
YDL095W	non_essential
YDL096C	non_essential
YDL097C	essential
YDL098C	essential
YDL099W	non_essential
YDL100C	non_essential
YDL101C	non_essential
YDL102W	essential
YDL103C	essential
YDL104C	non_essential
YDL105W	essential
YDL106C	non_essential
YDL107W	non_essential
YDL108W	essential
YDL109C	non_essential
YDL110C	non_essential
YDL111C	essential
YDL112W	non_essential
YDL113C	non_essential
YDL114W	non_essential
YDL114W-A	non_essential
YDL115C	non_essential
YDL116W	non_essential
YDL117W	non_essential
YDL118W	non_essential
YDL119C	non_essential
YDL120W	essential
YDL121C	non_essential
YDL122W	non_essential
YDL123W	non_essential
YDL124W	non_essential
YDL125C	non_essential
YDL126C	essential
YDL127W	non_essential
YDL128W	non_essential
