Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
ORF	S000004020	YLR030W	S. cerevisiae	""	""	""
ORF	S000004021	YLR031W	S. cerevisiae	""	""	""
ORF	S000004022	YLR032W	S. cerevisiae	RAD5	RADiation sensitive	DNA helicase RAD5|REV2|SNM2
ORF	S000004023	YLR033W	S. cerevisiae	RSC58	Remodel the Structure of Chromatin	""
ORF	S000004024	YLR034C	S. cerevisiae	SMF3	""	putative divalent metal ion transporter SMF3
ORF	S000004025	YLR035C	S. cerevisiae	MLH2	MutL Homolog	mismatch repair protein MLH2
ORF	S000004026	YLR036C	S. cerevisiae	""	""	""
ORF	S000004027	YLR037C	S. cerevisiae	PAU23	seriPAUperin family	DAN2|seripauperin PAU23
ORF	S000004028	YLR038C	S. cerevisiae	COX12	Cytochrome c OXidase	cytochrome c oxidase subunit VIb
ORF	S000004029	YLR039C	S. cerevisiae	RIC1	RIbosome Control	""
ORF	S000004030	YLR040C	S. cerevisiae	AFB1	A-Factor Barrier	""
ORF	S000004031	YLR041W	S. cerevisiae	""	""	""
ORF	S000004032	YLR042C	S. cerevisiae	NFG1	Negative regulator of the Filamentous Growth MAPK pathway	""
ORF	S000004033	YLR043C	S. cerevisiae	TRX1	ThioRedoXin	LMA1|thioredoxin TRX1
ORF	S000004034	YLR044C	S. cerevisiae	PDC1	Pyruvate DeCarboxylase	indolepyruvate decarboxylase 1
ORF	S000004035	YLR045C	S. cerevisiae	STU2	Suppressor of TUbulin	""
ORF	S000004036	YLR046C	S. cerevisiae	""	""	RLA1
ORF	S000004037	YLR047C	S. cerevisiae	FRE8	""	putative ferric-chelate reductase
ORF	S000004038	YLR048W	S. cerevisiae	RPS0B	Ribosomal Protein of the Small subunit	NAB1B|ribosomal 40S subunit protein S0B|S0B|S2|uS2|YST2
ORF	S000004039	YLR049C	S. cerevisiae	MLO50	Mitochondrially LOcalized protein of 50 kDa	""
ORF	S000004040	YLR050C	S. cerevisiae	EMA19	Efficient Mitochondria targeting-Associated protein	""
ORF	S000004041	YLR051C	S. cerevisiae	FCF2	Faf1p Copurifying Factor	""
ORF	S000004042	YLR052W	S. cerevisiae	IES3	Ino Eighty Subunit	""
ORF	S000004043	YLR053C	S. cerevisiae	NRS1	Nitrogen-Responsive Start regulator	""
ORF	S000004044	YLR054C	S. cerevisiae	OSW2	Outer Spore Wall	""
ORF	S000004045	YLR055C	S. cerevisiae	SPT8	SuPpressor of Ty	SAGA complex subunit SPT8
ORF	S000004046	YLR056W	S. cerevisiae	ERG3	ERGosterol biosynthesis	C-5 sterol desaturase|PSO6|SYR1
ORF	S000004047	YLR057W	S. cerevisiae	MNL2	MaNnosidase-Like protein	putative mannosidase MNL2
ORF	S000004048	YLR058C	S. cerevisiae	SHM2	Serine HydroxyMethyltransferase	glycine hydroxymethyltransferase SHM2|SHMT2
ORF	S000004049	YLR059C	S. cerevisiae	REX2	Rna EXonuclease	YNT20
ORF	S000004050	YLR060W	S. cerevisiae	FRS1	phenylalanyl (F)-tRNA Synthetase	phenylalanine--tRNA ligase subunit beta
ORF	S000004051	YLR061W	S. cerevisiae	RPL22A	Ribosomal Protein of the Large subunit	eL22|l1c|L22A|L22e|ribosomal 60S subunit protein L22A|rp4|YL31
ORF	S000004052	YLR062C	S. cerevisiae	BUD28	BUD site selection	""
ORF	S000004053	YLR063W	S. cerevisiae	BMT6	Base Methyltransferase of Twenty five S rRNA	25S rRNA (uracil2843-N3)-methyltransferase
ORF	S000004054	YLR064W	S. cerevisiae	PER33	Pore and ER protein, 33 kDa	""
ORF	S000004055	YLR065C	S. cerevisiae	SND2	SRP-iNDependent targeting	ENV10
ORF	S000004056	YLR066W	S. cerevisiae	SPC3	Signal Peptidase Complex	signal peptidase complex subunit SPC3
ORF	S000004057	YLR067C	S. cerevisiae	PET309	PETite colonies	""
ORF	S000004058	YLR068W	S. cerevisiae	FYV7	Function required for Yeast Viability	""
ORF	S000004059	YLR069C	S. cerevisiae	MEF1	Mitochondrial Elongation Factor	""
ORF	S000004060	YLR070C	S. cerevisiae	XYL2	""	D-xylulose reductase XYL2
ORF	S000004061	YLR071C	S. cerevisiae	RGR1	Resistant to Glucose Repression	MED14
ORF	S000004062	YLR072W	S. cerevisiae	LAM6	Lipid transfer protein Anchored at Membrane contact site	LTC1
ORF	S000004063	YLR073C	S. cerevisiae	RFU1	Regulator of Free Ubiquitin chains	""
ORF	S000004064	YLR074C	S. cerevisiae	BUD20	BUD site selection	""
ORF	S000004065	YLR075W	S. cerevisiae	RPL10	Ribosomal Protein of the Large subunit	GRC5|L10|L16|QSR1|ribosomal 60S subunit protein L10|uL16
ORF	S000004066	YLR076C	S. cerevisiae	""	""	""
ORF	S000004067	YLR077W	S. cerevisiae	FMP25	Found in Mitochondrial Proteome	BCA1
ORF	S000004068	YLR078C	S. cerevisiae	BOS1	Bet One Suppressor	SEC32
ORF	S000004069	YLR079W	S. cerevisiae	SIC1	Substrate/Subunit Inhibitor of Cyclin-dependent protein kinase	BYC1|cyclin-dependent protein serine/threonine kinase inhibiting protein SIC1|SDB25
ORF	S000004070	YLR080W	S. cerevisiae	EMP46	""	""
ORF	S000004071	YLR081W	S. cerevisiae	GAL2	GALactose metabolism	galactose permease GAL2
ORF	S000004072	YLR082C	S. cerevisiae	SRL2	Suppressor of Rad53 null Lethality	""
ORF	S000004073	YLR083C	S. cerevisiae	EMP70	""	p24a|TMN1
ORF	S000004074	YLR084C	S. cerevisiae	RAX2	""	""
ORF	S000004075	YLR085C	S. cerevisiae	ARP6	Actin-Related Protein	""
ORF	S000004076	YLR086W	S. cerevisiae	SMC4	Structural Maintenance of Chromosomes	condensin subunit SMC4
ORF	S000004077	YLR087C	S. cerevisiae	CSF1	Cold Sensitive for Fermentation	""
ORF	S000004078	YLR088W	S. cerevisiae	GAA1	GPI Anchor Attachment	END2|GPI-anchor transamidase subunit GAA1
ORF	S000004079	YLR089C	S. cerevisiae	ALT1	ALanine Transaminase	alanine transaminase ALT1
ORF	S000004080	YLR090W	S. cerevisiae	XDJ1	""	""
ORF	S000004081	YLR091W	S. cerevisiae	GEP5	GEnetic interactors of Prohibitins	RRG5
ORF	S000004082	YLR092W	S. cerevisiae	SUL2	SULfate	sulfate permease
ORF	S000004083	YLR093C	S. cerevisiae	NYV1	New Yeast V-SNARE	MAM2
ORF	S000004084	YLR094C	S. cerevisiae	GIS3	GIg1-2 Suppressor	""
ORF	S000004085	YLR095C	S. cerevisiae	IOC2	Iswi One Complex	""
ORF	S000004086	YLR096W	S. cerevisiae	KIN2	KINase	serine/threonine protein kinase KIN2
ORF	S000004087	YLR097C	S. cerevisiae	HRT3	High level expression Reduces Ty3 transposition	SCF ubiquitin ligase complex subunit HRT3
ORF	S000004088	YLR098C	S. cerevisiae	CHA4	Catabolism of Hydroxy Amino acids	SIL2|SIL3
ORF	S000004089	YLR099C	S. cerevisiae	ICT1	Increased Copper Tolerance	lysophosphatidic acid acyltransferase ICT1
ORF	S000004090	YLR100W	S. cerevisiae	ERG27	ERGosterol biosynthesis	3-keto-steroid reductase
ORF	S000004091	YLR101C	S. cerevisiae	""	""	""
ORF	S000004092	YLR102C	S. cerevisiae	APC9	Anaphase Promoting Complex	anaphase promoting complex subunit 9
ORF	S000004093	YLR103C	S. cerevisiae	CDC45	Cell Division Cycle	DNA replication initiation factor CDC45|SLD4
ORF	S000004094	YLR104W	S. cerevisiae	LCL2	Long Chronological Lifespan	""
ORF	S000004095	YLR105C	S. cerevisiae	SEN2	Splicing ENdonuclease	tRNA splicing endonuclease subunit SEN2
ORF	S000004096	YLR106C	S. cerevisiae	REA1	Ribosome Export/Assembly	AAA family ATPase midasin|MDN1
ORF	S000004097	YLR107W	S. cerevisiae	REX3	Rna EXonuclease	RNA exonuclease
ORF	S000004098	YLR108C	S. cerevisiae	""	""	""
ORF	S000004099	YLR109W	S. cerevisiae	AHP1	Alkyl HydroPeroxide reductase	cTPxIII|thioredoxin peroxidase AHP1
ORF	S000004100	YLR110C	S. cerevisiae	CCW12	Covalently linked Cell Wall protein	""
ORF	S000004101	YLR111W	S. cerevisiae	""	""	""
ORF	S000004102	YLR112W	S. cerevisiae	""	""	""
ORF	S000004103	YLR113W	S. cerevisiae	HOG1	High Osmolarity Glycerol response	mitogen-activated protein kinase HOG1|SSK3
ORF	S000004104	YLR114C	S. cerevisiae	AVL9	Apl2 Vps1 Lethal	""
ORF	S000004105	YLR115W	S. cerevisiae	CFT2	Cleavage Factor Two	cleavage polyadenylation factor subunit CFT2|YDH1
ORF	S000004106	YLR116W	S. cerevisiae	MSL5	Mud Synthetic-Lethal	BBP|mRNA splicing protein MSL5
ORF	S000004107	YLR117C	S. cerevisiae	CLF1	Crooked neck-Like Factor	NTC77|SYF3
ORF	S000004108	YLR118C	S. cerevisiae	TML25	acyl-protein Thioesterase with Multiple Localizations, protein of 25 kDa	APT1|palmitoyl-(protein) hydrolase
ORF	S000004109	YLR119W	S. cerevisiae	SRN2	Suppressor of Rna mutations, Number 2	ESCRT-I subunit protein SRN2|SRN10|VPL16|VPS37
ORF	S000004110	YLR120C	S. cerevisiae	YPS1	YaPSin	aspartyl protease|YAP3
ORF	S000004111	YLR121C	S. cerevisiae	YPS3	YaPSin	aspartyl protease|YPS4
ORF	S000004112	YLR122C	S. cerevisiae	""	""	""
ORF	S000004113	YLR123C	S. cerevisiae	""	""	""
ORF	S000004114	YLR124W	S. cerevisiae	""	""	""
ORF	S000004115	YLR125W	S. cerevisiae	""	""	""
ORF	S000004116	YLR126C	S. cerevisiae	""	""	putative amidotransferase
ORF	S000004117	YLR127C	S. cerevisiae	APC2	Anaphase Promoting Complex	anaphase promoting complex subunit 2|RSI1|TID2
ORF	S000004118	YLR128W	S. cerevisiae	DCN1	Defective in Cullin Neddylation	NEDD8 ligase DCN1
ORF	S000004119	YLR129W	S. cerevisiae	DIP2	DOM34 Interacting Protein	snoRNA-binding rRNA-processing protein DIP2|UTP12
ORF	S000004120	YLR130C	S. cerevisiae	ZRT2	Zinc-Regulated Transporter	low-affinity Zn(2+) transporter ZRT2
ORF	S000004121	YLR131C	S. cerevisiae	ACE2	Activator of CUP1 Expression	DNA-binding transcription factor ACE2
ORF	S000004122	YLR132C	S. cerevisiae	USB1	U Six Biogenesis	phosphoric diester hydrolase
ORF	S000004123	YLR133W	S. cerevisiae	CKI1	Choline KInase	bifunctional choline kinase/ethanolamine kinase CKI1
ORF	S000004124	YLR134W	S. cerevisiae	PDC5	Pyruvate DeCarboxylase	indolepyruvate decarboxylase 5
ORF	S000004125	YLR135W	S. cerevisiae	SLX4	Synthetic Lethal of unknown (X) function	""
ORF	S000004126	YLR136C	S. cerevisiae	TIS11	similar to the mammalian TPA Induced Sequence gene family	CTH2
ORF	S000004127	YLR137W	S. cerevisiae	RKM5	Ribosomal lysine (K) Methyltransferase	S-adenosylmethionine-dependent methyltransferase
ORF	S000004128	YLR138W	S. cerevisiae	NHA1	Na+/H+ Antiporter	""
ORF	S000004129	YLR139C	S. cerevisiae	SLS1	Synthetic Lethal with SSM4	""
ORF	S000004130	YLR140W	S. cerevisiae	""	""	""
ORF	S000004131	YLR141W	S. cerevisiae	RRN5	Regulation of RNA polymerase I	""
ORF	S000004132	YLR142W	S. cerevisiae	PUT1	Proline UTilization	proline dehydrogenase
ORF	S000004133	YLR143W	S. cerevisiae	DPH6	DiPHthamide biosynthesis	diphthine--ammonia ligase
ORF	S000004134	YLR144C	S. cerevisiae	ACF2	Assembly Complementing Factor	endo-1,3(4)-beta-glucanase|ENG2|PCA1
ORF	S000004135	YLR145W	S. cerevisiae	RMP1	RNase MRP Protein	""
ORF	S000004136	YLR146C	S. cerevisiae	SPE4	SPErmidine auxotroph	spermine synthase
ORF	S000004137	YLR147C	S. cerevisiae	SMD3	""	mRNA splicing protein SMD3|SLT16|Sm D3
ORF	S000004138	YLR148W	S. cerevisiae	PEP3	carboxyPEPtidase Y-deficient	tethering complex subunit PEP3|VAM8|VPS18|VPT18
ORF	S000004139	YLR149C	S. cerevisiae	GID11	Glucose Induced Degradation deficient	""
ORF	S000004140	YLR150W	S. cerevisiae	STM1	Suppressor of ToM1	MPT4
ORF	S000004141	YLR151C	S. cerevisiae	PCD1	Peroxisomal Coenzyme A Diphosphatase	8-oxo-dGTP diphosphatase
ORF	S000004142	YLR152C	S. cerevisiae	""	""	""
ORF	S000004143	YLR153C	S. cerevisiae	ACS2	Acetyl CoA Synthetase	acetate--CoA ligase ACS2
ORF	S000004144	YLR154C	S. cerevisiae	RNH203	RNase H	Rnh2C
ORF	S000004145	YLR155C	S. cerevisiae	ASP3-1	ASParaginase	ASP3|asparaginase ASP3-1
ORF	S000004146	YLR156W	S. cerevisiae	""	""	""
ORF	S000004147	YLR157C	S. cerevisiae	ASP3-2	ASParaginase	ASP3|asparaginase ASP3-2
ORF	S000004148	YLR158C	S. cerevisiae	ASP3-3	ASParaginase	ASP3|asparaginase ASP3-3
ORF	S000004149	YLR159W	S. cerevisiae	""	""	""
ORF	S000004150	YLR160C	S. cerevisiae	ASP3-4	ASParaginase	ASP3|asparaginase ASP3-4
ORF	S000004151	YLR161W	S. cerevisiae	""	""	""
ORF	S000004152	YLR162W	S. cerevisiae	""	""	""
ORF	S000004153	YLR163C	S. cerevisiae	MAS1	Mitochondrial ASsembly	MIF1|mitochondrial processing peptidase
ORF	S000004154	YLR164W	S. cerevisiae	SHH4	SDH4 Homolog	protein SHH4
ORF	S000004155	YLR165C	S. cerevisiae	PUS5	PseudoUridine Synthase	pseudouridine synthase PUS5
ORF	S000004156	YLR166C	S. cerevisiae	SEC10	SECretory	exocyst subunit SEC10
ORF	S000004157	YLR167W	S. cerevisiae	RPS31	Ribosomal Protein of the Small subunit	eS31|RPS37|S31|S31e|S37|UB13|UBI3|ubiquitin-ribosomal 40S subunit protein S31 fusion protein|YS24
ORF	S000004158	YLR168C	S. cerevisiae	UPS2	UnProceSsed	AIM30|GEP1|MSF1|MSF1'
ORF	S000004159	YLR169W	S. cerevisiae	""	""	""
ORF	S000004160	YLR170C	S. cerevisiae	APS1	clathrin Associated Protein complex Small subunit	YAP19
ORF	S000004161	YLR171W	S. cerevisiae	""	""	""
ORF	S000004162	YLR172C	S. cerevisiae	DPH5	DiPHthamide	diphthine synthase
ORF	S000004163	YLR173W	S. cerevisiae	TAG1	Termination of AutophaGy	""
ORF	S000004164	YLR174W	S. cerevisiae	IDP2	Isocitrate Dehydrogenase, NADP-specific	isocitrate dehydrogenase (NADP(+)) IDP2
ORF	S000004165	YLR175W	S. cerevisiae	CBF5	Centromere Binding Factor	pseudouridine synthase CBF5
ORF	S000004166	YLR176C	S. cerevisiae	RFX1	Regulatory Factor X	CRT1
ORF	S000004167	YLR177W	S. cerevisiae	""	""	""
ORF	S000004168	YLR178C	S. cerevisiae	TFS1	cdc Twenty-Five Suppressor	DKA1|NSP1
ORF	S000004169	YLR179C	S. cerevisiae	""	""	""
ORF	S000004170	YLR180W	S. cerevisiae	SAM1	S-AdenosylMethionine requiring	ETH10|methionine adenosyltransferase SAM1
ORF	S000004171	YLR181C	S. cerevisiae	VTA1	VpsTwenty Associated	""
ORF	S000004172	YLR182W	S. cerevisiae	SWI6	SWItching deficient	PSL8|SDS11|transcriptional regulator SWI6
ORF	S000004173	YLR183C	S. cerevisiae	TOS4	Target Of Sbf	""
ORF	S000004174	YLR184W	S. cerevisiae	""	""	""
ORF	S000004175	YLR185W	S. cerevisiae	RPL37A	Ribosomal Protein of the Large subunit	eL37|L37A|L37e|L43|ribosomal 60S subunit protein L37A|YL35
ORF	S000004176	YLR186W	S. cerevisiae	EMG1	Essential for Mitotic Growth	18S rRNA pseudouridine methyltransferase|NEP1
ORF	S000004177	YLR187W	S. cerevisiae	SKG3	Suppressor of lethality of Kex2 Gas1 double null mutant	""
ORF	S000004178	YLR188W	S. cerevisiae	MDL1	MultiDrug resistance-Like	ATP-binding cassette permease MDL1
ORF	S000004179	YLR189C	S. cerevisiae	ATG26	AuTophaGy related	sterol 3-beta-glucosyltransferase|UGT51
ORF	S000004180	YLR190W	S. cerevisiae	MMR1	Mitochondrial Myo2p Receptor-related	""
ORF	S000004181	YLR191W	S. cerevisiae	PEX13	PEroXin	PAS20|peroxin PEX13
ORF	S000004182	YLR192C	S. cerevisiae	HCR1	High-Copy suppressor of Rpg1	translation initiation factor eIF3 core subunit j
ORF	S000004183	YLR193C	S. cerevisiae	UPS1	UnProceSsed	""
ORF	S000004184	YLR194C	S. cerevisiae	NCW2	Novel Cell Wall protein	""
ORF	S000004185	YLR195C	S. cerevisiae	NMT1	N-Myristoyl Transferase	CDC72|glycylpeptide N-tetradecanoyltransferase NMT1
ORF	S000004186	YLR196W	S. cerevisiae	PWP1	Periodic tryptophan (W) Protein	rRNA-processing protein PWP1
ORF	S000004187	YLR197W	S. cerevisiae	NOP56	NucleOlar Protein of 56.8 kDa	SIK1|snoRNP complex protein NOP56
ORF	S000004188	YLR198C	S. cerevisiae	""	""	""
ORF	S000004189	YLR199C	S. cerevisiae	PBA1	Proteasome Biogenesis-Associated	POC1
ORF	S000004190	YLR200W	S. cerevisiae	YKE2	Yeast ortholog of mouse KE2	GIM1|PFD6|tubulin-binding prefolding complex subunit YKE2
ORF	S000004191	YLR201C	S. cerevisiae	COQ9	COenzyme Q	FMP53|ubiquinone biosynthesis protein COQ9
ORF	S000004192	YLR202C	S. cerevisiae	""	""	""
ORF	S000004193	YLR203C	S. cerevisiae	MSS51	Mitochondrial Splicing Suppressor	""
ORF	S000004194	YLR204W	S. cerevisiae	QRI5	Quasi-Renownless Information	COX24|mitochondrial 37S ribosomal protein QRI5|mS38
ORF	S000004195	YLR205C	S. cerevisiae	HMX1	HeMe oXygenase	""
ORF	S000004196	YLR206W	S. cerevisiae	ENT2	Epsin N-Terminal homology	epsin
ORF	S000004197	YLR207W	S. cerevisiae	HRD3	HMG-coA Reductase Degradation	ubiquitin ligase complex subunit HRD3
ORF	S000004198	YLR208W	S. cerevisiae	SEC13	SECretory	ANU3|GTPase-activating protein SEC13
ORF	S000004199	YLR209C	S. cerevisiae	PNP1	purine nucleoside phosphorylase	purine-nucleoside phosphorylase
ORF	S000004200	YLR210W	S. cerevisiae	CLB4	CycLin B	B-type cyclin CLB4
ORF	S000004201	YLR211C	S. cerevisiae	ATG38	AuTophaGy related	""
ORF	S000004202	YLR212C	S. cerevisiae	TUB4	TUBulin	gamma-tubulin
ORF	S000004203	YLR213C	S. cerevisiae	CRR1	CRH-Related	putative glycosylase
ORF	S000004204	YLR214W	S. cerevisiae	FRE1	Ferric REductase	ferric/cupric-chelate reductase
ORF	S000004205	YLR215C	S. cerevisiae	CDC123	Cell Division Cycle	cell proliferation protein CDC123
ORF	S000004206	YLR216C	S. cerevisiae	CPR6	Cyclosporin-sensitive Proline Rotamase	CYP40|peptidylprolyl isomerase CPR6
ORF	S000004207	YLR217W	S. cerevisiae	""	""	""
ORF	S000004208	YLR218C	S. cerevisiae	COA4	Cytochrome Oxidase Assembly factor	CMC3
ORF	S000004209	YLR219W	S. cerevisiae	MSC3	Meiotic Sister-Chromatid recombination	""
ORF	S000004210	YLR220W	S. cerevisiae	CCC1	Cross-Complements Ca(2+) phenotype of csg1	""
ORF	S000004211	YLR221C	S. cerevisiae	RSA3	RiboSome Assembly	""
ORF	S000004212	YLR222C	S. cerevisiae	UTP13	U Three Protein	""
ORF	S000004213	YLR223C	S. cerevisiae	IFH1	Interacts with Fork Head	""
ORF	S000004214	YLR224W	S. cerevisiae	UCC1	Ubiquitination of Citrate synthase in the glyoxylate Cycle	""
ORF	S000004215	YLR225C	S. cerevisiae	""	""	""
ORF	S000004216	YLR226W	S. cerevisiae	BUR2	Bypass UAS Requirement	CST4
ORF	S000004217	YLR227C	S. cerevisiae	ADY4	Accumulation of DYads	""
ORF	S000004218	YLR228C	S. cerevisiae	ECM22	ExtraCellular Mutant	""
ORF	S000004219	YLR229C	S. cerevisiae	CDC42	Cell Division Cycle	Rho family GTPase CDC42
ORF	S000004220	YLR230W	S. cerevisiae	""	""	""
ORF	S000004221	YLR231C	S. cerevisiae	BNA5	Biosynthesis of Nicotinic Acid	kynureninase
ORF	S000004222	YLR232W	S. cerevisiae	""	""	""
ORF	S000004223	YLR233C	S. cerevisiae	EST1	Ever Shorter Telomeres	""
ORF	S000004224	YLR234W	S. cerevisiae	TOP3	TOPoisomerase	DNA topoisomerase 3|EDR1
ORF	S000004225	YLR235C	S. cerevisiae	""	""	""
ORF	S000004226	YLR236C	S. cerevisiae	""	""	""
ORF	S000004227	YLR237W	S. cerevisiae	THI7	THIamine metabolism	THI10|thiamine transporter THI7
ORF	S000004228	YLR238W	S. cerevisiae	FAR10	Factor ARrest	""
ORF	S000004229	YLR239C	S. cerevisiae	LIP2	LIPoyl ligase	lipoyl(octanoyl) transferase LIP2
ORF	S000004230	YLR240W	S. cerevisiae	VPS34	Vacuolar Protein Sorting	END12|PEP15|phosphatidylinositol 3-kinase VPS34|STT8|VPL7|VPS7|VPT29
ORF	S000004231	YLR241W	S. cerevisiae	CSC1	Calcium permeable Stress-gated cation Channel	""
ORF	S000004232	YLR242C	S. cerevisiae	ARV1	ARE2 Required for Viability	sterol homeostasis protein ARV1
ORF	S000004233	YLR243W	S. cerevisiae	GPN3	Gly-Pro-Asn (N) motif	putative signal sequence-binding GTPase GPN3
ORF	S000004234	YLR244C	S. cerevisiae	MAP1	Methionine AminoPeptidase	methionine aminopeptidase MAP1
ORF	S000004235	YLR245C	S. cerevisiae	CDD1	CytiDine Deaminase	cytidine deaminase
ORF	S000004236	YLR246W	S. cerevisiae	ERF2	Effect on Ras Function	palmitoyltransferase ERF2
ORF	S000004237	YLR247C	S. cerevisiae	IRC20	Increased Recombination Centers	E3 ubiquitin-protein ligase IRC20
ORF	S000004238	YLR248W	S. cerevisiae	RCK2	Radiation sensitivity Complementing Kinase	CLK1|CMK3|serine/threonine protein kinase RCK2
ORF	S000004239	YLR249W	S. cerevisiae	YEF3	Yeast Elongation Factor	eEF3|EF-3|TEF3|translation elongation factor EF-3
ORF	S000004240	YLR250W	S. cerevisiae	SSP120	Saccharomyces Secretory Protein	""
ORF	S000004241	YLR251W	S. cerevisiae	SYM1	Stress-inducible Yeast Mpv17	ethanol metabolism protein
ORF	S000004242	YLR252W	S. cerevisiae	""	""	""
ORF	S000004243	YLR253W	S. cerevisiae	CQD2	CoQ Distribution	MCP2|MRX13
ORF	S000004244	YLR254C	S. cerevisiae	NDL1	NuDeL homolog	""
ORF	S000004245	YLR255C	S. cerevisiae	""	""	""
ORF	S000004246	YLR256W	S. cerevisiae	HAP1	Heme Activator Protein	CYP1
ORF	S000004247	YLR257W	S. cerevisiae	""	""	""
ORF	S000004248	YLR258W	S. cerevisiae	GSY2	Glycogen SYnthase	glycogen (starch) synthase GSY2
ORF	S000004249	YLR259C	S. cerevisiae	HSP60	Heat Shock Protein	chaperone ATPase HSP60|CPN60|MIF4|MNA2
ORF	S000004250	YLR260W	S. cerevisiae	LCB5	Long-Chain Base	sphinganine kinase LCB5
ORF	S000004251	YLR261C	S. cerevisiae	VPS63	Vacuolar Protein Sorting	""
ORF	S000004252	YLR262C	S. cerevisiae	YPT6	Yeast Protein Two	Rab family GTPase YPT6
ORF	S000004253	YLR263W	S. cerevisiae	RED1	REDuctional division	""
ORF	S000004254	YLR264W	S. cerevisiae	RPS28B	Ribosomal Protein of the Small subunit	eS28|ribosomal 40S subunit protein S28B|RPS33B|S28B|S28e|S33B|YS27
ORF	S000004255	YLR265C	S. cerevisiae	NEJ1	Nonhomologous End-Joining defective	LIF2
ORF	S000004256	YLR266C	S. cerevisiae	PDR8	Pleiotropic Drug Resistance	""
ORF	S000004257	YLR267W	S. cerevisiae	BOP2	Bypass Of Pam1	""
ORF	S000004258	YLR268W	S. cerevisiae	SEC22	SECretory	SLY2|SNAP receptor SEC22|TS26|TSL26
ORF	S000004259	YLR269C	S. cerevisiae	""	""	""
ORF	S000004260	YLR270W	S. cerevisiae	DCS1	DeCapping Scavenger	5'-(N(7)-methyl 5'-triphosphoguanosine)-(mRNA) diphosphatase|DcpS
ORF	S000004261	YLR271W	S. cerevisiae	CMG1	Cytoplasmic and Mitochondrial G-patch protein 1	""
ORF	S000004262	YLR272C	S. cerevisiae	YCS4	Yeast Condensin Subunit	condensin subunit YCS4|LOC7
ORF	S000004263	YLR273C	S. cerevisiae	PIG1	Protein Interacting with Gsy2p	protein phosphatase regulator PIG1
ORF	S000004264	YLR274W	S. cerevisiae	MCM5	MiniChromosome Maintenance	BOB1|CDC46|MCM DNA helicase complex subunit MCM5
ORF	S000004265	YLR275W	S. cerevisiae	SMD2	""	mRNA splicing protein SMD2|Sm D2
ORF	S000004266	YLR276C	S. cerevisiae	DBP9	Dead Box Protein	ATP-dependent DNA/RNA helicase
ORF	S000004267	YLR277C	S. cerevisiae	YSH1	Yeast Seventy-three Homolog	BRR5|cleavage polyadenylation factor subunit YSH1
ORF	S000004268	YLR278C	S. cerevisiae	""	""	""
ORF	S000004269	YLR279W	S. cerevisiae	""	""	""
ORF	S000004270	YLR280C	S. cerevisiae	""	""	""
ORF	S000004271	YLR281C	S. cerevisiae	RSO55	mitochondrial protein Related to Spastic paraplegia with Optic atrophy and neuropathy SPG55	PTH3
ORF	S000004272	YLR282C	S. cerevisiae	""	""	""
ORF	S000004273	YLR283W	S. cerevisiae	PUT7	Proline UTilization	""
ORF	S000004274	YLR284C	S. cerevisiae	ECI1	Enoyl-CoA Isomerase	dodecenoyl-CoA isomerase
ORF	S000004275	YLR285W	S. cerevisiae	NNT1	Nicotinamide N-methylTransferase	EFM7|S-adenosylmethionine-dependent methyltransferase
ORF	S000004276	YLR286C	S. cerevisiae	CTS1	ChiTinaSe	chitinase|SCW2
ORF	S000004277	YLR287C	S. cerevisiae	""	""	""
ORF	S000004278	YLR287C-A	S. cerevisiae	RPS30A	Ribosomal Protein of the Small subunit	eS30|ribosomal 40S subunit protein S30A|S30A|S30e
ORF	S000004279	YLR288C	S. cerevisiae	MEC3	Mitosis Entry Checkpoint	PIP3|PSO9
ORF	S000004280	YLR289W	S. cerevisiae	GUF1	Gtpase of Unknown Function	GTPase GUF1
ORF	S000004281	YLR290C	S. cerevisiae	COQ11	COenzyme Q	MRX2|ubiquinone biosynthesis protein COQ11
ORF	S000004282	YLR291C	S. cerevisiae	GCD7	General Control Derepressed	translation initiation factor eIF2B subunit beta
ORF	S000004283	YLR292C	S. cerevisiae	SEC72	SECretory	Sec63 complex subunit SEC72|SEC67|SIM2
ORF	S000004284	YLR293C	S. cerevisiae	GSP1	Genetic Suppressor of Prp20-1	CNR1|CST17|Ran GTPase GSP1
ORF	S000004285	YLR294C	S. cerevisiae	""	""	""
ORF	S000004286	YLR295C	S. cerevisiae	ATP14	ATP synthase	F1F0 ATP synthase subunit h
ORF	S000004287	YLR296W	S. cerevisiae	""	""	""
ORF	S000004288	YLR297W	S. cerevisiae	""	""	""
ORF	S000004289	YLR298C	S. cerevisiae	YHC1	Yeast Homolog of human U1C	U1C|U1-C
ORF	S000004290	YLR299W	S. cerevisiae	ECM38	ExtraCellular Mutant	CIS2|gamma-glutamyltransferase
ORF	S000004291	YLR300W	S. cerevisiae	EXG1	EXo-1,3-beta-Glucanase	BGL1|glucan 1,3-beta-glucosidase|SCW6
ORF	S000004292	YLR301W	S. cerevisiae	HRI1	HRr25 Interacting	""
ORF	S000004293	YLR302C	S. cerevisiae	""	""	""
ORF	S000004294	YLR303W	S. cerevisiae	MET17	METhionine requiring	bifunctional cysteine synthase/O-acetylhomoserine aminocarboxypropyltransferase MET17|MET15|MET25
