Gene.featureType	Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.organism.shortName	Gene.symbol	Gene.name	Gene.sgdAlias
ORF	S000002376	YDL217C	S. cerevisiae	TIM22	Translocase of the Inner Mitochondrial membrane	translocation channel protein TIM22
ORF	S000002377	YDL218W	S. cerevisiae	""	""	""
ORF	S000002378	YDL219W	S. cerevisiae	DTD1	D-Tyr-tRNA(Tyr) Deacylase	D-tyrosyl-tRNA(Tyr) deacylase
ORF	S000002379	YDL220C	S. cerevisiae	CDC13	Cell Division Cycle	EST4|telomere-binding protein CDC13
ORF	S000002380	YDL221W	S. cerevisiae	""	""	""
ORF	S000002381	YDL222C	S. cerevisiae	FMP45	Found in Mitochondrial Proteome	""
ORF	S000002382	YDL223C	S. cerevisiae	HBT1	HuB1 Target	""
ORF	S000002383	YDL224C	S. cerevisiae	WHI4	WHIskey	""
ORF	S000002384	YDL225W	S. cerevisiae	SHS1	Seventh Homolog of Septin	SEP7|septin SHS1
ORF	S000002385	YDL226C	S. cerevisiae	GCS1	Growth Cold Sensitive	GTPase-activating protein GCS1
ORF	S000002386	YDL227C	S. cerevisiae	HO	HOmothallic switching endonuclease	""
ORF	S000002387	YDL228C	S. cerevisiae	""	""	""
ORF	S000002388	YDL229W	S. cerevisiae	SSB1	Stress-Seventy subfamily B	Hsp70 family ATPase SSB1|YG101
ORF	S000002389	YDL230W	S. cerevisiae	PTP1	Protein Tyrosine Phosphatase	tyrosine protein phosphatase PTP1
ORF	S000002390	YDL231C	S. cerevisiae	BRE4	BREfeldin A sensitivity	""
ORF	S000002391	YDL232W	S. cerevisiae	OST4	OligoSaccharylTransferase	olichyl-diphosphooligosaccharide--protein glycotransferase OST4
ORF	S000002392	YDL233W	S. cerevisiae	MFG1	Morphogenetic regulator of Filamentous Growth	""
ORF	S000002393	YDL234C	S. cerevisiae	GYP7	Gtpase-activating protein for Ypt7 Protein	GTPase-activating protein GYP7
