Gene_Symbol	Gene_ID	Haploinsufficiency_Score	Haploinsufficiency_Description	Triplosensitivity_Score	Triplosensitivity_Description	Haploinsufficiency_Disease_ID	Triplosensitivity_Disease_ID
A4GALT	53947	30	Gene associated with autosomal recessive phenotype	0	No evidence available		
AAGAB	79719	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007858	
AARS1	16	0	No evidence available	0	No evidence available		
AARS2	57505	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014387	
AASS	10157	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009388	
ABAT	18	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013166	
ABCB11	8647	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011156	
ABCC8	6833	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009734	
ABCD1	215	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0018544	
ABCG5	64240	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0020747	
ABCG8	64241	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0020747	
ABHD12	26090	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012984	
ABR	29	0	No evidence available	0	No evidence available		
ABRAXAS1	84142	0	No evidence available	0	No evidence available		
ACAD8	27034	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012648	
ACADM	34	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008721	
ACADSB	36	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012392	
ACADVL	37	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008723	
ACD	65057	1	Little evidence for dosage pathogenicity	0	No evidence available		
ACOX1	51	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009919	
ACP5	54	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011939	
ACSF3	197322	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013661	
ACSL4	2182	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0010313	
ACTA2	59	1	Little evidence for dosage pathogenicity	0	No evidence available		
ACTB	60	0	No evidence available	0	No evidence available	MONDO:0000508	
ACTC1	70	1	Little evidence for dosage pathogenicity	0	No evidence available		
ACTL6B	51412	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0100062	
ACVRL1	94	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010880	
ADA2	51816	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014306	
ADAM9	8754	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013002	
ADAMTS13	11093	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010122	
ADAMTS17	170691	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013176	
ADAMTS18	170692	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014195	
ADAMTS2	9509	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009161	
ADAMTSL2	9719	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009269	
ADGRG1	9289	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011738	
ADGRV1	84059	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0016484	
ADNP	23394	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014379	
ADSL	158	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0007068	
AFF2	2334	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010659	
AGA	175	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008830	
AGK	55750	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008922	
AGPAT2	10555	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012071	
AGRN	375790	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014052	
AGT	183	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009970	
AGTR2	186	0	No evidence available	0	No evidence available	MONDO:0010454	
AGXT	189	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009823	
AHCY	191	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013404	
AHDC1	27245	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014358	
AHI1	54806	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012078	
AICDA	57379	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011528	
AIMP1	9255	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009843	
AKT1	207	0	No evidence available	0	No evidence available		
AKT2	208	0	No evidence available	0	No evidence available		
AKT3	10000	1	Little evidence for dosage pathogenicity	0	No evidence available		
ALAD	210	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013000	
ALDH1A3	220	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014050	
ALDH3A2	224	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010031	
ALDH4A1	8659	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009401	
ALDH5A1	7915	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010083	
ALDOA	226	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012747	
ALG1	56052	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012052	
ALG12	79087	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011783	
ALG2	85365	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014543	
ALG6	29929	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011291	
ALK	238	0	No evidence available	0	No evidence available		
ALMS1	7840	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008763	
ALS2	57679	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008763	
ALX4	60529	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012309	
AMH	268	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009857	
AMN	81693	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0100156	
ANGPTL3	27329	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011505	
ANK2	287	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
ANKH	56172	0	No evidence available	0	No evidence available		
ANKRD11	29123	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007846	
ANKRD26	22852	0	No evidence available	0	No evidence available		
ANKS6	203286	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014158	
ANOS1	3730	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010635	
ANTXR2	118429	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009229	
AP1S2	8905	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010574	
AP4B1	10717	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013551	
AP4S1	11154	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013552	
APC	324	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0021056	
APOB	338	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014252	
APOC2	344	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008810	
APP	351	0	No evidence available	2	Some evidence for dosage pathogenicity		
AR	367	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0019154	
ARCN1	372	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014948	
ARFGEF2	10564	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011966	
ARG1	383	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008814	
ARHGAP31	57514	0	No evidence available	0	No evidence available		
ARHGEF4	50649	0	No evidence available	0	No evidence available		
ARHGEF6	9459	0	No evidence available	0	No evidence available		
ARHGEF9	23229	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100148	
ARID1A	8289	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013819	
ARID1B	57492	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007617	
ARID2	196528	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0033492	
ARL6	84100	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010832	
ARL6IP1	23204	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014304	
ARSA	410	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009591	
ARSD	414	0	No evidence available	0	No evidence available		
ARSL	415	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010555	
ARX	170302	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010268	
ASAH1	427	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009218	
ASH1L	55870	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
ASL	435	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008815	
ASPA	443	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010079	
ASPH	444	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011106	
ASPM	259266	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012106	
ASTN2	23245	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
ASXL1	171023	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011510	
ASXL2	55252	0	No evidence available	0	No evidence available		
ASXL3	80816	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014205	
ATCAY	85300	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011025	
ATF6	22926	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014677	
ATM	472	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008840	
ATP10A	57194	0	No evidence available	0	No evidence available		
ATP13A2	23400	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011706	
ATP2A1	487	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010977	
ATP2C2	9914	0	No evidence available	0	No evidence available		
ATP6AP2	10159	0	No evidence available	0	No evidence available		
ATP6V0A2	23545	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0018163	
ATP6V0A4	50617	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011268	
ATP6V1E1	529	0	No evidence available	0	No evidence available		
ATP7A	538	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010651	
ATP7B	540	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010200	
ATP8A2	51761	1	Little evidence for dosage pathogenicity	0	No evidence available		
ATPAF2	91647	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011421	
ATR	545	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0013806	
ATRX	546	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010519	
AUTS2	26053	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014361	
AVPR2	554	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010581	
AXIN2	8313	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012075	
B3GALNT2	148789	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014071	
B3GALT6	126792	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010075	
B4GALT1	2683	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011772	
B4GALT7	11285	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0020682	
B9D1	27077	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014927	
BAG3	9531	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013479	
BAP1	8314	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013692	
BARD1	580	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0016419	
BBS12	166379	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014440	
BBS5	129880	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014434	
BBS7	55212	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014435	
BCHE	590	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0015270	
BCKDHB	594	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009563	
BCKDK	10295	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013970	
BCL11A	53335	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014914	
BCL2L11	10018	0	No evidence available	0	No evidence available		
BCLAF1	9774	1	Little evidence for dosage pathogenicity	0	No evidence available		
BCOR	54880	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010261	
BCR	613	0	No evidence available	0	No evidence available		
BCS1L	617	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009872	
BIN1	274	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009709	
BLM	641	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008876	
BLNK	29760	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013289	
BMP4	652	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0011936	
BMPER	168667	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011946	
BMPR1A	657	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0017380	
BMPR2	659	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0024533	
BPHL	670	40	Dosage sensitivity unlikely	0	No evidence available		
BPNT2	54928	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013561	
BPTF	2186	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0000508	
BPY2	9083	0	No evidence available	0	No evidence available		
BRAF	673	1	Little evidence for dosage pathogenicity	0	No evidence available		
BRAT1	221927	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013784	
BRCA1	672	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0011450	
BRCA2	675	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012933	
BRIP1	83990	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0016419	
BRWD3	254065	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100284	
BSND	7809	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011242	
BTD	686	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009665	
BTK	695	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010421	
BUB1B	701	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009759	
C19orf12	83636	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013674	
C1QB	713	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013343	
C8orf37	157657	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013786	
CA12	771	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0007747	
CA5A	763	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014332	
CA8	767	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013188	
CABP2	51475	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013963	
CABP4	57010	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012490	
CACNA1A	773	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007163	
CACNA1C	775	1	Little evidence for dosage pathogenicity	0	No evidence available		
CACNA1S	779	0	No evidence available	0	No evidence available		
CADPS2	93664	0	No evidence available	0	No evidence available		
CAMTA1	23261	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0013886	
CANT1	124583	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009629	
CAPN3	825	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009675	
CARD14	79092	0	No evidence available	0	No evidence available		
CASP10	843	1	Little evidence for dosage pathogenicity	0	No evidence available		
CASQ2	845	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012762	
CASZ1	54897	1	Little evidence for dosage pathogenicity	0	No evidence available		
CATSPER2	117155	30	Gene associated with autosomal recessive phenotype	0	No evidence available		
CBFB	865	0	No evidence available	0	No evidence available		
CBL	867	0	No evidence available	0	No evidence available	MONDO:0013308	
CBS	875	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009352	
CBY2	220082	40	Dosage sensitivity unlikely	0	No evidence available		
CC2D2A	57545	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0015369	
CCBE1	147372	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009337	
CCDC103	388389	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013854	
CCDC39	339829	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013434	
CCDC40	55036	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013435	
CCDC8	83987	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013627	
CCN6	8838	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008827	
CCNQ	92002	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0010408	
CCT5	22948	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009748	
CD19	930	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013283	
CD27	939	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014054	
CD36	948	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012031	
CD3D	915	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014280	
CD3E	916	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014278	
CD3G	917	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014276	
CD40LG	959	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010626	
CD59	966	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012858	
CD8A	925	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012161	
CDAN1	146059	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009135	
CDC42BPB	9578	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0005258	
CDC73	79577	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007768	
CDH1	999	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007648	
CDH15	1013	0	No evidence available	0	No evidence available	MONDO:0012946	
CDH23	64072	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0037940	
CDHR1	92211	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013348	
CDIN1	84529	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014285	
CDK13	8621	2	Some evidence for dosage pathogenicity	Not yet evaluated	Not yet evaluated	MONDO:0000508	
CDK4	1019	0	No evidence available	0	No evidence available	MONDO:0012183	
CDK5RAP2	55755	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0011488	
CDK6	1021	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014484	
CDKL5	6792	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010396	
CDKN1B	1027	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0012552	
CDKN1C	1028	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007534	
CDKN2A	1029	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007964	
CDT1	81620	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013431	
CDY1	9085	0	No evidence available	0	No evidence available		
CEBPA	1050	0	No evidence available	0	No evidence available	MONDO:0018874	
CEBPE	1053	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0044207	
CENPJ	55835	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012029	
CENPP	401541	0	No evidence available	0	No evidence available		
CEP164	22897	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013917	
CEP290	80184	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0015369	
CEP78	84131	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0020778	
CERS3	204219	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0014010	
CFAP53	220136	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013887	
CFC1	55997	0	No evidence available	0	No evidence available		
CFD	1675	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013487	
CFL2	1073	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012538	
CFTR	1080	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009061	
CHAMP1	283489	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0014699	
CHAT	1103	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009689	
CHD1L	9557	0	No evidence available	0	No evidence available		
CHD2	1106	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014150	
CHD4	1108	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0014946	
CHD5	26038	1	Little evidence for dosage pathogenicity	Not yet evaluated	Not yet evaluated	MONDO:0100038	
CHD8	57680	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0014017	
CHEK1	1111	0	No evidence available	0	No evidence available		
CHEK2	11200	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0016419	
CHKB	1120	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011246	
CHM	1121	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010557	
CHMP1A	5119	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013990	
CHMP7	91782	0	No evidence available	0	No evidence available		
CHRDL1	91851	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010649	
CHRM3	1131	1	Little evidence for dosage pathogenicity	0	No evidence available		
CHRNA7	1139	0	No evidence available	0	No evidence available		
CHST6	4166	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0009020	
CHSY1	22856	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011533	
CIC	23152	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
CIDEC	63924	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014098	
CITED2	10370	2	Some evidence for dosage pathogenicity	0	No evidence available	MONDO:0000119	
CLCF1	23529	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012467	
CLCN4	1183	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0010250	
CLCN5	1184	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010225	
CLCNKA	1187	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0000909	
CLCNKB	1188	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0011822	
CLDN14	23562	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013537	
CLMP	79827	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0020718	
CLN3	1201	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0008767	
CLN8	2055	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0010830	
CLNK	116449	0	No evidence available	0	No evidence available		
CLPP	8192	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0013588	
CLRN1	7401	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0010170	
CLTC	1213	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0100038	
CNGB1	1258	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013413	
CNKSR2	22866	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0030909	
CNNM4	26504	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0009007	
CNOT2	4848	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0032832	
CNOT3	4849	0	No evidence available	0	No evidence available		
CNTN1	1272	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012929	
CNTN2	6900	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0014167	
CNTN4	152330	0	No evidence available	0	No evidence available	MONDO:0100038	
CNTN6	27255	0	No evidence available	0	No evidence available		
CNTNAP2	26047	1	Little evidence for dosage pathogenicity	0	No evidence available		
COG1	9382	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0012637	
COG4	25839	30	Gene associated with autosomal recessive phenotype	Not yet evaluated	Not yet evaluated	MONDO:0013281	
COG7	91949	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012118	
COG8	84342	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0012635	
COL11A1	1301	1	Little evidence for dosage pathogenicity	0	No evidence available	MONDO:0011493	
COL16A1	1307	40	Dosage sensitivity unlikely	0	No evidence available		
COL1A1	1277	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0008146	
COL1A2	1278	0	No evidence available	0	No evidence available		
COL2A1	1280	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007160	
COL3A1	1281	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0007524	
COL4A3	1285	30	Gene associated with autosomal recessive phenotype	0	No evidence available	MONDO:0008762	
COL4A5	1287	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0010520	
COL5A1	1289	3	Sufficient evidence for dosage pathogenicity	0	No evidence available	MONDO:0019567	
COL6A5	256076	40	Dosage sensitivity unlikely	0	No evidence available		
COL9A1	1297	0	No evidence available	0	No evidence available	MONDO:0013591	
